route,admin,judge,writer,reviewer,release_coordinator
human_to_admin,AUTHORIZED,PROHIBITED,PROHIBITED,PROHIBITED,PROHIBITED
human_to_judge,PROHIBITED,AUTHORIZED,PROHIBITED,PROHIBITED,PROHIBITED
human_to_writer,PROHIBITED,PROHIBITED,AUTHORIZED,PROHIBITED,PROHIBITED
human_to_reviewer,PROHIBITED,PROHIBITED,PROHIBITED,AUTHORIZED,PROHIBITED
human_to_release_coordinator,PROHIBITED,PROHIBITED,PROHIBITED,PROHIBITED,AUTHORIZED
writer_to_reviewer,PROHIBITED,PROHIBITED,AUTHORIZED,PROHIBITED,PROHIBITED
reviewer_to_writer,PROHIBITED,PROHIBITED,PROHIBITED,AUTHORIZED,PROHIBITED
release_coordinator_to_reviewer,PROHIBITED,PROHIBITED,PROHIBITED,PROHIBITED,AUTHORIZED
reviewer_to_release_coordinator,PROHIBITED,PROHIBITED,PROHIBITED,AUTHORIZED,PROHIBITED
admin_to_writer,AUTHORIZED,PROHIBITED,PROHIBITED,PROHIBITED,PROHIBITED
writer_to_admin,PROHIBITED,PROHIBITED,AUTHORIZED,PROHIBITED,PROHIBITED
admin_to_reviewer,AUTHORIZED,PROHIBITED,PROHIBITED,PROHIBITED,PROHIBITED
reviewer_to_admin,PROHIBITED,PROHIBITED,PROHIBITED,AUTHORIZED,PROHIBITED
admin_to_release_coordinator,AUTHORIZED,PROHIBITED,PROHIBITED,PROHIBITED,PROHIBITED
release_coordinator_to_admin,PROHIBITED,PROHIBITED,PROHIBITED,PROHIBITED,AUTHORIZED
